DATE_STRIN,LATITUDE,LONGITUDE,PENUMBRAL,PARTIAL ECLIPSE,DURATION
1955/7/27,20S,78W,326.3,159.4,-
1955/12/22,25N,85E,158.7,-,-
1956/1/21,19N,108W,150.7,-,-
1956/6/16,25S,32W,213.4,-,-
1956/7/15,21S,172W,135.9,-,-
1956/12/11,24N,9E,326.1,149.1,-
1957/6/5,23S,91E,306,194,51.4
1957/11/30,22N,17E,378.4,234.1,102.8
1958/5/26,20S,167W,314.2,202.5,73.4
1958/11/19,19N,2E,335.9,183.4,-
1959/5/16,17S,16W,236.4,-,-
1959/10/9,7N,56E,99,-,-
1959/11/8,15N,118W,204.9,-,-
1960/4/4,6S,99E,312.3,114.6,-
1960/9/28,2N,180E,274.1,133.4,-
1961/3/24,1S,97E,370.5,232.2,101.4
1961/9/18,3S,47W,330.3,215.1,97.5
1962/3/14,4N,31E,322,177.9,-
1962/9/7,7S,162E,324,173.8,-
1963/2/2,16N,4E,162.7,-,-
1963/3/3,9N,141W,180.2,-,-
1963/7/29,18S,0E,116.4,-,-
1963/8/27,12S,117E,170.7,-,-
1964/1/22,19N,123E,290.3,159.9,-
1964/7/17,21S,25W,320.2,157.3,-
1965/1/11,22N,79W,340.5,219.6,100.8
1965/7/6,23S,152W,336.7,219.8,101.1
1965/12/31,24N,178E,323.1,152.5,-
1966/6/26,24S,15W,273,133,-
1966/12/20,25N,173E,158.5,-,-
1967/5/17,18S,168W,251.2,57.9,-
1967/6/15,25S,85E,55.6,-,-
1967/11/9,16N,60E,293.4,104.6,-
1968/5/6,16S,9E,344.2,218.4,87.6
1968/10/29,13N,93W,328.8,212.8,94.1
1969/4/25,13S,66W,348.5,197.6,-
1969/10/18,10N,41E,300.3,180.7,-
1970/4/14,10S,73W,216.9,-,-
1970/9/9,8S,25W,110.2,-,-
1970/10/8,6N,168E,203.4,-,-
1971/3/4,8N,65E,296.3,138.7,-
1971/8/29,11S,148W,311.1,136.2,-
1972/2/22,11N,131W,323,212.8,98.9
1972/8/17,14S,172W,375.7,235.1,104.4
1973/2/11,14N,14W,289.8,162.7,-
1973/8/6,17S,178E,333.6,174.7,-
1974/1/2,25N,42W,155.6,-,-
1974/1/31,16N,126E,156.5,-,-
1974/6/27,25S,140W,193.6,-,-
1974/7/26,19S,79E,166.7,-,-
1974/12/22,24N,112W,326.1,147.5,-
1975/6/17,24S,21W,301.1,186.5,-
1975/12/11,23N,102W,378,233.9,102.5
1976/6/5,22S,82E,317.9,207.4,85.2
